name,top_song_1,top_song_2,top_song_3
Mohammad Reza Mortazavi,Tears of a Fakir: Op1,Yek 128-12,Swamp (Ricardo Villalobos Variation)
Mourn,,,
Muna Khaled,,,
My Bloody Valentine,only tomorrow,she found now,
Natalia Lacunza,Pensar en Ti,nana triste,Olivia
neska,HASTA SIEMPRE,Lágrimas y Suspiros,Forgive Me
NEW YORK,New York,,
NewDad,Angel,Pretty,Blue
Nick León Live,Bikini,Ghost Orchid,Entropy
Nicole.Aiff,PAPELITO,,
Ninajirachi,iPod Touch,Delete,CSIRAC
Oklou,blade bird,god's chariots,harvest sky
Oli XL Live,Love & Pop (feat. Chanel Beads),Nosebleed Melody,Heretic
Ósserp,CAVALCANT L'OSSA MENOR,TOT CREMA,L'ENGANY
Ouineta,Evil Ouineta,DMs,La Roda
Overmono,Lockup,So U Kno,Good Lies
Paco Te Quiero,Bajona de Verano,"600,000",pase lo que pase
Panda Bear,9,Doin' it Right,Defense
Paula Tape,Acid Latino (Sonido Real) [Hercules & Love Affair & Orion Agassi Remix],De2 Locura,Panamericana
Paus,แค่ได้เป็นคนสุดท้ายที่เธอคิดถึง,ที่ว่าง,รักเธอทั้งหมดของหัวใจ
Pavvla,Home,Planets and Stars (Demo),Skin
Peggy Gou,(It Goes Like) Nanana (Edit),(It Goes Like) Nanana,I Feel So Free (Peggy Gou Energy Mix)
Perfecto Miserable,Termonuclear,Si todo va bien (por qué estoy tan mal???),¿Me dejas olvidar?
PinkPantheress,Stateside (with Zara Larsson),Girl Like Me,Illegal
Powder,,,
Proc Fiskal live,Apple Juice,Thurs Jung Yout,Lamentation
Ralphie Choo,VOYCONTODO,Dolores,BBY ROMEO
Raly,lqplcdm,Hawaii,aunque duela
Rashad Becker,Dances VI,Themes VI,Themes VII
Ravyn Lenae,Handle,Love Me Not,One Wish (feat. Childish Gambino)
Raya Diplomática,HETERO FARLOPERO,WANANI (37 MARICONES),NO ME QUIERO MORIR
Renaldo & Clara,Per fer-te una idea,Globus,L'amor fa calor
res_,They-Say Vision,Golden Boys,700 Mile Situation
Rian Brazil,Close 2 u (Mixed),Close 2 u,
